id,group,name,weight,kcal,kcalPerG,carbohydrate,protein,fat,sugar,natrium,cholesterol,fattyAcid,transFattyAcid
777,피자,유어스페셜_Special pizza_L,144,586.41,4.07,91.65,15.76,17.42,7.05,307.31,2.7,11.4,0
778,피자,유어스페셜_Special pizza_R,118,371.63,3.15,51.52,14.76,11.84,4.32,383.05,1.67,8.08,0
779,피자,치즈 피자,146,649.7,4.45,99.28,40.88,20.44,26.28,1007.4,14.6,11.1,0
780,피자,치즈피자(레귤러),51,73.66,1.44,10.33,3.84,1.89,0.68,113.04,0,1.19,0
781,피자,치즈피자(스크린),80,196.16,2.45,21.54,10.44,7.58,2.99,320.86,0,4.44,0
782,피자,치즈피자(치크),119,484.89,4.07,25.22,34.49,27.31,4.38,932.57,0,13.35,0
783,피자,치즈피자(팬),89,213.88,2.4,27.82,11.72,6.2,1.85,439.84,0,3.83,0
784,피자,치즈피자(피타),50,87.72,1.75,7.98,4.64,4.14,0.72,107.75,0,2.68,0
785,피자,칠리타코(레귤러),60,91.72,1.53,11.26,4.93,3,1.44,125.24,0,1.66,0
786,피자,칠리타코(스크린),93,251.53,2.7,29.76,11.48,9.63,5.16,406.96,0,4.74,0
787,피자,칠리타코(치크),174,932.57,5.36,59.31,57.66,51.59,14.66,1576.06,0,24.88,0
788,피자,칠리타코(팬),107,301.89,2.82,38.24,13.74,10.44,4.61,527,0,5.76,0
789,피자,칠리타코(피타),78,186.95,2.4,17.48,8.86,9.07,2.98,215.71,0,5.39,0
790,피자,파스트라미(치크),162,669.73,4.13,88.87,49.03,28.53,8.3,1466.46,0,11.43,0
791,피자,파스트라미[스크린],115,350.32,3.05,29.06,20.8,16.76,6.64,497.86,0,10.15,0
792,피자,파스트라미[팬],143,510.24,3.57,63.11,28.38,16.03,6.2,790.15,0,9.39,0
793,피자,파스트라미[피타],104,274.69,2.64,29.99,14.65,10.68,4.4,459.44,0,5.31,0
794,피자,페퍼로니 라이스골드L,139,573.76,4.13,207.11,33.51,617.02,4.66,306.54,4.35,10.15,34.88
795,피자,페퍼로니(레귤러),54,81.13,1.5,9,4.91,2.83,0.65,132.58,0,1.71,0
796,피자,페퍼로니(스크린),124,448.09,3.61,48.77,25.24,16.9,5.83,764.95,0,9.3,0
797,피자,페퍼로니(팬),127,433.95,3.42,51.31,25.69,13.99,4.06,747.37,0,8.35,0
798,피자,페퍼로니(피타),87,237.56,2.73,21,13.54,11.05,1.64,343.46,0,6.72,0
799,피자,페퍼로니(피타2조각),173,944.8,5.46,83.5,53.84,43.94,6.52,1365.96,0,26.73,0
800,피자,페페로니 피자,140,623,4.45,78.4,47.6,28,22.4,742,14,12.6,0
801,피자,포테이토스페셜(레귤러),116,343.79,2.96,42.36,17.88,11.42,4.59,518.59,0,6.36,0
802,피자,포테이토스페셜(스크린),147,546.26,3.72,61,30.76,19.92,7.09,773.35,0,10.48,0
803,피자,포테이토스페셜(치크),165,706.54,4.28,50.76,51.72,32.91,9.26,1449.96,0,12.57,0
804,피자,포테이토스페셜(팬),126,399.04,3.17,68.86,11.56,8.55,4.75,398.25,0,7.6,0
805,피자,포테이토스페셜(피타),125,432.1,3.46,40.17,22.37,20.21,5.07,546.25,0,11.66,0
806,피자,한우송이(치크),171,776.89,4.54,58.33,53.51,36.57,17.05,1486.01,0,15.89,0
807,피자,한우송이(피타),122,423.4,3.47,32.37,22.21,22.79,9.56,622.45,0,14.21,0
808,피자,한우송이피자(스크린),136,502.5,3.69,50.48,26.7,21.53,10.62,880.36,0,12.17,0
809,피자,한우송이피자(팬),152,604.54,3.98,68.16,31.72,22.78,13.96,784.84,0,13.38,0
810,피자,핫치킨 피자,178,836.6,4.7,131.72,42.72,14.6,28.48,1192.6,17.8,7.12,0
811,피자,화이트갈릭(레귤러),106,304.19,2.87,34.5,16.76,11.02,3.43,426.52,0,6.92,0
812,피자,화이트갈릭(스크린),137,548.09,4,53.83,28.53,24.3,8.85,863.26,0,13.79,0
813,피자,화이트갈릭(치크),155,707.83,4.57,44.27,48.43,37.41,11.24,1523.32,0,16.37,0
814,피자,화이트갈릭(팬),115,374.48,3.26,60.04,10.8,10.14,3.56,483.91,0,8.43,0
815,피자,화이트갈릭(피타),120,469.41,3.91,34.19,23.86,26.36,7.29,594.25,0,14.93,0
816,제빵,(특)롤케익,70,159.6,2.28,22.4,3.5,6.3,13.3,75.6,136.5,2.8,0
817,제빵,9곡발아식빵,70,112,1.6,18.9,3.5,2.1,2.1,203,3.5,1.05,0
818,제빵,가나슈생크림빵,80,216,2.7,28.8,4,9.6,9.6,67.2,21.6,5.6,0
819,제빵,가또쇼콜라파티,60,240,4,20,3,18,12,95,70,8,0.32
820,제빵,가을 품은 고구마,60,126,2.1,15.6,1.8,6.6,6,120,0,3.6,0
821,제빵,가을이 그리운 밤,68,176.8,2.6,20.4,2.72,9.52,7.48,136,0,5.44,0
822,제빵,갈릭러스크,80,248,3.1,22.4,2.4,16,8,280,36,10.4,0.4
823,제빵,갈릭바게뜨,100,368.65,3.69,51.14,9.48,14.02,13.15,507.39,0,5.81,0
824,제빵,갈릭앤치즈브레드,100,352.21,3.52,36.87,10.38,18.14,4.49,516.79,0,8.37,0
825,제빵,거울공주미미,65,270,4.15,26,3,18,19,105,60,8,0.33
826,제빵,건포도빵,100,320.01,3.2,46.72,7.81,11.32,8.21,370.33,0,0.75,0
827,제빵,검은콩 흑미이야기,70,119.7,1.71,21,4.2,2.1,2.8,177.8,8.4,0.7,0
828,제빵,고구마데니쉬,74,167.24,2.26,25.16,2.22,6.66,7.4,53.28,11.1,2.96,0
829,제빵,고구마맛스폰지,70,168.7,2.41,19.6,2.8,9.1,12.6,72.8,48.3,4.9,0
830,제빵,고구마생크림,70,136.5,1.95,16.8,2.1,7,8.4,52.5,38.5,4.2,0
831,제빵,고구마생크림 1호,70,125.3,1.79,14,1.4,7,7,43.4,42,4.2,0
832,제빵,고구마생크림케익,70,136.5,1.95,16.8,2.1,7,8.4,52.5,38.5,4.2,0
833,제빵,고구마소보루빵,90,280,3.11,50,6,8,17,240,30,3,0.15
834,제빵,고구마쉬폰,70,133.7,1.91,13.3,1.4,8.4,7.7,42,39.9,4.9,0
835,제빵,고구마크림데니쉬,100,372.18,3.72,52.77,5.7,15.37,12.13,177.66,0,5.21,0
836,제빵,고구마크림빵,73,139.43,1.91,23.36,2.92,3.65,8.03,40.88,17.52,2.19,0
837,제빵,고구마크림치즈패스츄리,100,360.91,3.61,46.99,7.21,16.01,14.13,304.42,0,4.99,0
838,제빵,고소한 고구마 생크림,70,135.1,1.93,16.8,2.1,7,9.1,56,41.3,3.5,0
839,제빵,고소한 호두롤,70,154,2.2,18.9,3.5,7.7,10.5,87.5,73.5,1.4,0
840,제빵,고소한핑거스틱,100,260,2.6,47,8,4.5,14,240,100,2,0.09
841,제빵,고소함가득 곡물브레드,120,330,2.75,60,9,8,16,390,5,2.5,0
842,제빵,곡물-롤케익(프레젠용),69,181.47,2.63,20.7,3.45,9.66,12.42,68.31,98.67,4.83,0
843,제빵,과일생크림미니,70,124.6,1.78,14,1.4,7,9.8,50.4,28,4.9,0
844,제빵,구름처럼 푹신한 크림빵,60,126,2.1,14.4,2.4,7.2,4.8,84,18,4.8,0.3
845,제빵,그 시절 옥수수카스테라,100,350,3.5,44,5,18,20,270,110,7,0
846,제빵,그대로토스트,70,195,2.79,28,5,7,3,310,10,3,0.08
847,제빵,그랜드카페모카,70,250,3.57,22,3,16,17,120,90,7,0.18
848,제빵,그레이프머핀,62,176.7,2.85,21.08,2.48,9.3,12.4,173.6,34.1,3.1,0
849,제빵,그루에,47,98.7,2.1,13.16,1.41,4.7,7.05,28.2,30.55,2.82,0
850,제빵,그린미니본델리슈,50,70,1.4,14.5,1.5,1,12,12.5,37.5,0.5,0
851,제빵,그린본델리슈,50,70,1.4,14.5,1.5,1,12,12.5,37.5,0.5,0
852,제빵,그린콩생크림빵,70,172.9,2.47,21.7,2.8,8.4,9.8,129.5,9.8,4.2,0
853,제빵,글레이즈드,100,439.66,4.4,44.45,7.13,25.93,7.37,591.08,0,7.02,0
854,제빵,글레이즈드 사워 크림,75,213.75,2.85,33.75,2.25,8.25,18.75,195,0,2.62,0
855,제빵,글레이즈드 초콜릿 케익,75,210,2.8,33.75,2.25,7.5,14.25,172.5,0,2.62,0
856,제빵,까망베르치즈머핀,115,552,4.8,67.85,8.05,27.6,33.35,460,74.75,9.2,0
857,제빵,까망베르치즈생크림,52,84.76,1.63,8.32,1.04,5.2,5.72,41.08,25.48,3.12,0
858,제빵,꼬마버스 타요 친구들,65,260,4,23,3,18,14,100,80,8,0.24
859,제빵,꽃다발한아름케이크,70,129.5,1.85,14,3.5,7,7,98,38.5,3.5,0
860,제빵,꽃밭에서 붕붕벌,55,230,4.18,19,2,18,11,90,60,8,0.37
861,제빵,나를위한선택 53.5,70,129.5,1.85,20.3,4.9,3.5,3.5,175,38.5,1.05,0
862,제빵,내가찾던모카케이크,60,240,4,17,3,18,17,90,80,8,0.3
863,제빵,내가찾던초코케이크,60,240,4,19,3,18,12,90,65,8,0.28
864,제빵,녹차&단팥 먼치킨,50,82.5,1.65,11,1.5,4,4,90,0,2.3,0
865,제빵,녹차도라야끼,60,99,1.65,21,3,1.14,10.8,51,21,0.3,0
866,제빵,녹차롤,70,171.5,2.45,30.8,4.2,3.5,10.5,80.5,70,1.75,0
867,제빵,녹차롤(미니),40,59.6,1.49,6,0.8,3.6,3.6,22.4,23.6,2,0
868,제빵,녹차롤(프레젠용),62,142.6,2.3,14.88,2.48,8.68,8.68,53.32,57.04,4.34,0
869,제빵,녹차롤케익,70,154,2.2,19.6,2.8,7,12.6,87.5,77,1.75,0
870,제빵,녹차만주,66,138.6,2.1,26.4,3.3,3.1,13.2,69.3,19.8,0.66,0.33
871,제빵,녹차빅글레이즈드,100,377.99,3.78,55.72,7.04,14.1,8.06,473.56,0,6.45,0
872,제빵,녹차생크림케익,58,99.76,1.72,9.86,1.74,5.8,6.38,22.62,33.64,3.48,0
873,제빵,녹차쉬폰,64,124.16,1.94,10.24,2.56,8.32,6.4,40.32,61.44,3.84,0
874,제빵,녹차쉬폰(M),65,104,1.6,11.7,1.3,5.85,8.45,45.5,32.5,2.21,0
875,제빵,녹차카스테라,50,80,1.6,15.5,2,1,5.5,42.5,45,0.4,0
876,제빵,뉴욕치즈케익 도넛,91,304.85,3.35,39.13,3.64,14.56,16.38,182,0,5.46,0
877,제빵,뉴치킨고로케,100,345.52,3.46,28.93,7.1,22.38,2.49,588.32,0,2.65,0
878,제빵,다크아몬드링,50,89.5,1.79,12,2.5,4,2,136.5,0,1.75,0
879,제빵,다크초콜릿마카다미아,100,543.07,5.43,55.77,7.75,32.11,24.14,312.02,0,6.19,0
880,제빵,단팥 츄잉볼,90,301.5,3.35,54,4.5,9,17.1,63,58.5,4.5,0
881,제빵,단팥빵,75,150,2,30,3,2.62,15.75,150,15,1.5,0
882,제빵,단호박검은깨식빵,70,112,1.6,20.3,3.5,2.1,2.8,147,3.5,1.05,0
883,제빵,달콤옥수수크림샌드,60,81,1.35,15,1.8,3.42,3,126,0.6,1.86,0
884,제빵,달콤한타르트,73,211.7,2.9,24.82,3.65,10.95,5.84,67.89,22.63,4.38,0
885,제빵,담백하고쫄깃한뜯어먹는식빵,100,282.73,2.83,45.5,8.08,7.6,5.53,367.61,0,3.86,0
886,제빵,더블 초코칩 크러핀,86,292.4,3.4,36.12,5.16,14.62,2.58,86,0,3.78,0
887,제빵,더블 초콜릿 아이스드,60,153,2.55,19.2,2.4,7.8,8.4,78,0,4.2,0
888,제빵,더블생크림,70,126,1.8,21,3.5,3.5,2.8,182,7,2.1,0
889,제빵,더블초콜렛머핀,90,351,3.9,41.4,4.5,19.8,23.4,324,61.2,5.4,0
890,제빵,더블치즈베이글,80,216,2.7,32.8,9.6,6.4,2.4,408,14.4,3.2,0
891,제빵,더치카카오머핀,115,540.5,4.7,71.3,9.2,24.15,32.2,402.5,74.75,9.2,0
892,제빵,던킨 글레이즈드,45,94.5,2.1,9,1.35,4.95,3.15,135,0,3.15,0
893,제빵,던킨 리얼카페모카,100,445.49,4.45,49.91,5.53,24.86,5.28,426.69,0,7.36,0
894,제빵,던킨 보스톤크림,100,380.65,3.81,38.92,5.04,22.76,4.4,399.66,0,10.03,0
895,제빵,던킨 스트로베리필드,100,350.9,3.51,47.59,4.94,15.64,6.7,334.18,0,6.09,0
896,제빵,던킨 올리브 츄이스티,100,428.7,4.29,51.21,2.45,23.79,17.99,352.6,0,5.66,0
897,제빵,던킨 카카오하니딥,100,460.67,4.61,43.93,4.41,29.7,15.99,459.5,0,8.02,0
898,제빵,던킨 카카오후로스티드,100,464.66,4.65,47.8,6.6,27.45,13.49,472.75,0,10.45,0
899,제빵,던킨 카푸치노 츄이스티,100,441.25,4.41,52.84,2.22,24.56,17.89,297.31,0,6.78,0
900,제빵,데코레이션케익(초코)단2호,47,93.53,1.99,17.39,0.94,6.58,5.17,22.09,39.48,3.73,0
901,제빵,데코레이션케익(초코)단7호,70,170.1,2.43,17.5,3.5,9.8,11.2,35.7,121.1,4.9,0
902,제빵,데코레이션케익(화이트)단1호,47,90.71,1.93,6.58,0.94,6.58,4.7,22.09,42.3,3.29,0
903,제빵,데코레이션케익(화이트)단2호,47,90.24,1.92,6.58,0.94,6.58,4.7,22.09,42.77,3.29,0
904,제빵,데코레이션케익(화이트)단3호,49,97.02,1.98,7.35,0.98,6.86,4.9,23.52,47.53,3.43,0
905,제빵,데코레이션케익(화이트)단4호,62,120.9,1.95,9.3,1.24,8.68,6.2,29.76,58.28,4.34,0
906,제빵,데코레이션케익(화이트)단5호,47,90.24,1.92,6.58,0.94,6.58,4.7,22.09,42.3,3.29,0
907,제빵,데코레이션케익(화이트)단7호,53,108.65,2.05,8.48,1.59,7.42,5.83,25.97,60.42,3.71,0
908,제빵,도라야끼,60,96,1.6,21.6,2.4,1.14,13.2,42,21,0.3,0
909,제빵,두유를 넣은 검은깨 두부,50,97.5,1.95,15.5,1.5,3.5,3,125,3.5,1.35,0
910,제빵,두유를 넣은 초코두부,50,102.5,2.05,14.5,1.5,4.5,2,125,3,2.5,0
911,제빵,드림 초코홀릭,60,168,2.8,16.2,1.8,10.8,6,72,0,5.4,0
912,제빵,디즈니car,65,260,4,24,3,18,14,100,75,8,0.19
913,제빵,딸기듬뿍티라미스,70,195,2.79,22,3,6,12,115,25,6,0.25
914,제빵,딸기롤,67,161.47,2.41,18.09,2.68,8.71,11.39,35.51,55.61,4.69,0
915,제빵,딸기롤(미니),39,54.6,1.4,6.24,0.78,3.12,3.9,12.09,18.72,1.56,0
916,제빵,딸기맛도너츠,60,106.2,1.77,18.6,1.8,3,5.4,99.6,0,1.19,0
917,제빵,딸기소프트케익,65,152.75,2.35,22.1,3.25,5.85,11.05,71.5,22.75,1.43,0
918,제빵,딸기쉐이크쉬폰,70,161,2.3,13.3,1.4,10.5,5.6,78.4,60.2,4.9,0
919,제빵,딸기요거트쉬폰,70,170,2.43,14,1,12,6,35,30,3,0.18
920,제빵,땅콩빵,68,167.28,2.46,19.72,3.4,8.16,6.8,65.96,14.28,4.08,0
921,제빵,땅콩안에 보이젠베리,70,240,3.43,32,5,12,15,170,35,5,0.23
922,제빵,땅콩크림빵,70,280,4,27,6,17,8,190,35,7,0.43
923,제빵,떡스폰지케익,74,192.4,2.6,25.9,3.7,8.14,13.32,192.4,51.8,2.96,0
924,제빵,라즈베리 필드,55,107.25,1.95,16.5,1.65,4.4,7.7,99,0,2.53,0
925,제빵,러브米식빵,70,124.6,1.78,21,4.2,2.8,2.8,244.3,4.9,0.7,0
926,제빵,러브러브초코,60,250,4.17,19,3,18,13,95,65,8,0.21
927,제빵,러블리초코테디,70,270,3.86,25,7,18,17,120,90,8,0.2
928,제빵,러블리핑크테디,70,260,3.71,25,3,18,18,120,90,8,0.19
929,제빵,레드베리스콘,75,225,3,36,3,7.5,12,277.5,15,3.75,0
930,제빵,로망스초코,55,230,4.18,17,3,18,11,90,60,8,0.34
931,제빵,로망스핑크,65,260,4,25,3,17,19,105,60,8,0.35
932,제빵,롤케익,70,147,2.1,17.5,2.8,7,9.8,87.5,80.5,1.05,0
933,제빵,롤케익 1호,70,159.6,2.28,22.4,3.5,6.3,13.3,76.3,140.7,2.8,0
934,제빵,롤케익 2호,70,156.1,2.23,22.4,3.5,6.3,13.3,79.1,112.7,2.8,0
935,제빵,롤케익(프레젠용),70,159.6,2.28,22.4,3.5,6.3,13.3,76.3,140.7,2.8,0
936,제빵,루피가만든맛있는케이크,70,280,4,30,3,17,22,110,65,8,0.25
937,제빵,루피의 두유크림빵,65,210,3.23,24,4,12,8,160,50,7,0.34
938,제빵,리얼녹차쉬폰,70,134.4,1.92,13.3,2.1,7.7,8.4,88.2,51.8,4.2,0
939,제빵,리틀엔젤초코,55,230,4.18,19,3,17,12,95,60,8,0.29
940,제빵,마늘빵,100,482.75,4.83,60.87,11.19,21.61,7.32,616.28,0,9.33,0
941,제빵,마늘토스트,100,375.24,3.75,51.53,7.57,15.43,9.08,516.78,0,4.14,0
942,제빵,마블링,50,93,1.86,13,2,4,2.75,94,0,2,0
943,제빵,마스카포네티라미스,60,205,3.42,14,3,11,10,85,95,8,0.27
944,제빵,마이 넘버원,70,230,3.29,17,3,16,12,60,70,13,0.31
945,제빵,마이넘버원2,70,240,3.43,30,3,13,20,50,50,14,0.31
946,제빵,마이베이비(블루),65,230,3.54,21,4,15,15,85,95,8,0.53
947,제빵,마이베이비(핑크),65,230,3.54,21,4,15,15,85,95,8,0.53
948,제빵,마이프린세스,70,280,4,29,3,18,21,115,65,8,0.45
949,제빵,마카롱모카,70,260,3.71,23,3,17,18,100,80,8,0.34
950,제빵,마카롱쇼콜라,70,250,3.57,23,4,17,17,120,90,7,0.34
951,제빵,말랑말랑샌드위치(소),65,105.95,1.63,18.2,3.25,2.6,1.95,163.8,3.9,1.3,0
952,제빵,말랑말랑샌드위치(통),70,123.9,1.77,21,3.5,2.8,2.1,190.4,4.2,1.4,0
953,제빵,맛있으면 바나나,80,176,2.2,25.6,4,6.4,16.8,60,92,2.72,0
954,제빵,망고 쿠키 먼치킨,60,162,2.7,24,1.8,7.2,8.4,126,10.8,2.82,0
955,제빵,매실생크림,70,116.2,1.66,11.9,1.4,7,8.4,39.2,25.9,4.9,0
956,제빵,머핀,51,93.33,1.83,14.28,1.02,3.57,7.14,48.45,12.75,1.53,0
957,제빵,먹으면 먹을수록 순수담백,60,84,1.4,16.2,2.4,0.9,1.8,138,2.99,0.6,0
958,제빵,메이플쉬폰,70,142.1,2.03,13.3,2.8,9.1,7.7,52.5,53.2,3.5,0
959,제빵,메이플스콘,75,232.5,3.1,34.5,3.75,9,11.25,307.5,11.25,3.75,0
960,제빵,메이플애플파운드,70,220.5,3.15,23.1,3.5,12.6,14,119,31.5,4.9,0
961,제빵,메이플파운드,74,229.4,3.1,28.86,3.7,11.1,16.28,222,44.4,4.44,0
962,제빵,명가명품 녹차,50,140,2.8,29,3,2,21,25,75,0.5,0.01
963,제빵,명가명품 벌꿀,50,140,2.8,29,3,2,21,25,75,0.5,0.01
964,제빵,명가명품 초코,50,65,1.3,14.5,1.5,1,10.5,12.5,37.5,0.5,0
965,제빵,명가명품(녹차카스테라),50,70,1.4,14.5,1.5,1,10.5,12.5,37.5,0.25,0
966,제빵,명가명품(벌꿀카스테라),50,70,1.4,14.5,1.5,1,10.5,12.5,37.5,0.25,0
967,제빵,명가통팥가득만주,70,175,2.5,35.7,4.9,1.68,18.9,66.5,21,0.77,0
968,제빵,모카 플라워,57,125.97,2.21,12.54,1.71,7.98,9.12,55.86,27.93,3.99,0
969,제빵,모카2단케이크,65,260,4,20,3,18,15,100,85,8,0.22
970,제빵,모카레즌생크림빵,72,182.16,2.53,23.04,2.88,8.64,9.36,144.72,8.64,4.32,0
971,제빵,모카롤,67,147.4,2.2,26.13,3.35,3.35,12.06,60.3,90.45,1.74,0
972,제빵,모카롤케익,70,154,2.2,20.3,3.5,7,11.2,63,91,1.4,0
973,제빵,모카쉬폰,70,149.1,2.13,12.6,2.8,9.8,8.4,51.8,67.9,4.9,0
974,제빵,모카슈생크림,60,111,1.85,10.8,1.8,7.2,6.6,32.4,54.6,4.2,0
975,제빵,모카스폰지,70,171.5,2.45,23.8,2.8,7.7,16.1,97.3,81.9,4.2,0
976,제빵,모카스폰지(소),70,161,2.3,20.3,2.8,7.7,11.9,105,80.5,1.4,0
977,제빵,모카스폰지케익,74,181.3,2.45,23.68,3.7,8.14,13.32,85.1,96.2,4.44,0
978,제빵,모카초코칩머핀,62,182.9,2.95,21.7,3.1,9.3,12.4,155,31,3.72,0
979,제빵,모카치즈케익,63,138.6,2.2,15.75,3.15,6.93,8.82,100.8,22.05,3.78,0
980,제빵,모카크림빵,67,164.15,2.45,18.76,2.68,8.71,8.04,34.17,12.73,4.69,0
981,제빵,모카크림식빵,100,401.05,4.01,53.25,6.59,17.96,14.83,318.39,0,7.55,0
982,제빵,모카플라워,57,125.97,2.21,12.54,13.11,7.98,9.12,55.86,27.93,3.99,0
983,제빵,목초란을 넣은 우유듬뿍빵,90,280,3.11,39,7,12,16,210,75,7,0.37
984,제빵,무설탕 식빵,70,126,1.8,18.9,4.2,3.5,0,210,24.5,1.4,0
985,제빵,미니 호두 크랜베리,74,244.2,3.3,19.98,2.96,17.76,11.84,103.6,56.24,1.7,0
986,제빵,미니도넛 6팩,63,189,3,21.42,2.52,11.34,6.93,214.2,0,5.04,0
987,제빵,미니딸기샌드,65,113.75,1.75,18.2,2.6,3.51,3.25,149.5,1.3,1.82,0
988,제빵,미니땅콩샌드,65,120.25,1.85,17.55,2.6,4.36,2.6,149.5,0.65,2.21,0
989,제빵,미니롤케익,50,80,1.6,11.5,2,3,7,40.5,57.5,1.5,0
990,제빵,미니만주,65,143,2.2,27.95,3.25,1.95,14.95,130,16.25,0.71,0
991,제빵,미니본델리슈,50,70,1.4,14.5,1.5,1,10.5,12.5,37.5,0.25,0
992,제빵,미니쉬폰,60,141,2.35,19.8,3,5.4,5.4,156,66,2.88,0
993,제빵,미니약식파운드(프레젠용),70,151.9,2.17,21.7,2.8,6.3,11.9,189.7,51.1,1.4,0
994,제빵,미니치즈케익,55,112.75,2.05,14.85,2.2,4.95,6.05,132,41.25,1.87,0
995,제빵,미니치즈파운드(프레젠용),57,124.83,2.19,13.11,2.28,7.41,6.27,112.86,37.62,3.99,0
996,제빵,미니카페케이크,60,240,4,20,3,19,12,95,75,8,0.29
997,제빵,미니호두파운드(프레젠용),62,152.52,2.46,16.74,2.48,8.68,7.44,111.6,43.4,4.34,0
998,제빵,미니호두파이,110,539,4.9,50.6,11,33,23.1,115.5,88,8.8,0
999,제빵,미미가좋아하는 초코칩크림빵,60,190,3.17,26,3,9,8,190,17,6,0
1000,제빵,미스베어,30,150,5,17,2,9,9,75,45,6,0.62
